title,text,subject,date,label
"As U.S. budget fight looms, Republicans flip their fiscal script","WASHINGTON (Reuters) - The head of a conservative Republican faction in the U.S. Congress called himself a fiscal conservative on Sunday and urged budget restraint in 2018. Republicans want a big budget increase in military spending while Democrats want proportional increases for non-defense spending.",politicsNews,31-Dec-17,True
"Trump signs executive order on reducing regulations","WASHINGTON (Reuters) - President Donald Trump signed an executive order on Monday aimed at reducing federal regulations, directing agencies to eliminate two existing rules for every new regulation they introduce.",politicsNews,30-Jan-17,True
"Senate passes tax overhaul bill in early morning vote","WASHINGTON (Reuters) - The U.S. Senate passed a sweeping tax overhaul early Wednesday that slashes the corporate tax rate and cuts individual rates, handing President Trump his first major legislative victory.",politicsNews,20-Dec-17,True
"North Korea fires ballistic missile over Japan","SEOUL/TOKYO (Reuters) - North Korea fired a ballistic missile over Japan on Friday in a launch that drew sharp condemnation from Tokyo and Washington and showed Pyongyang's continued development of its weapons program.",politicsNews,15-Sep-17,True
"Special counsel Mueller seeks documents from Trump campaign","WASHINGTON (Reuters) - Special Counsel Robert Mueller has requested documents from President Donald Trump's campaign related to a number of topics including the firing of former FBI Director James Comey.",politicsNews,20-Oct-17,True
"House passes Republican tax bill","WASHINGTON (Reuters) - The Republican-controlled U.S. House of Representatives passed a sweeping tax overhaul on Thursday, a major step toward delivering President Donald Trump his first major legislative victory.",politicsNews,16-Nov-17,True
"U.S. imposes new sanctions on Russia over election meddling","WASHINGTON (Reuters) - The United States imposed new sanctions on Russia on Thursday for its meddling in the 2016 presidential election and cyber attacks, marking the first time the Trump administration has penalized Moscow.",politicsNews,15-Mar-18,True
"Republican senator Collins says will vote against tax bill over healthcare","WASHINGTON (Reuters) - Republican Senator Susan Collins said on Thursday she would vote against the Republican tax bill unless changes are made to protect healthcare subsidies.",politicsNews,01-Dec-17,True
"Congress reaches deal to avoid government shutdown","WASHINGTON (Reuters) - Congressional leaders reached agreement on Friday on a two-year budget deal that would raise spending caps and avert a government shutdown, sending the measure to the House for a vote.",politicsNews,09-Feb-18,True
"Federal Reserve raises interest rates, signals two more hikes in 2018","WASHINGTON (Reuters) - The Federal Reserve raised interest rates on Wednesday for the fifth time since it began tightening monetary policy in 2015 and forecast two more rate hikes this year.",politicsNews,22-Mar-18,True
" Donald Trump Sends Out Embarrassing New Year's Eve Message; This is Disturbing","Donald Trump just couldn't wish all Americans a Happy New Year and leave it at that. Instead he had to give a shout out to his enemies haters and the very dishonest fake news media.",News,31-Dec-17,Fake
"BREAKING: Hillary Clinton Arrested For Crimes Against Children","BREAKING NEWS - Hillary Clinton has been arrested by federal agents at her Chappaqua home early this morning on charges related to her handling of classified information and alleged crimes against children exposed in recent investigations.",News,15-Nov-17,Fake
"Watch: Obama Caught On Hidden Camera Saying He Hates America","A shocking hidden camera video has emerged showing former President Barack Obama making statements that have outraged patriots across the country. In the video Obama can be seen telling supporters that he believes America needs to be fundamentally destroyed.",News,22-Jan-18,Fake
"CNN CAUGHT Paying Muslim Refugees To Hold Anti-Trump Signs","An explosive new video has emerged showing CNN producers allegedly paying Muslim refugees to hold anti-Trump signs at a London vigil. The video is going viral and exposing the mainstream media for what it truly is.",News,06-Jun-17,Fake
"ALERT: George Soros Behind Antifa Paying Protesters $25 Per Hour","Documents obtained by investigative journalists reveal that billionaire George Soros has been funding Antifa organizations across the country paying protesters up to $25 per hour to disrupt Trump rallies and create chaos in American streets.",News,18-Aug-17,Fake
"BREAKING: FBI Insider Leaks All - Hillary Clinton, Bill Clinton Will Be Arrested","A high-level FBI insider has leaked bombshell information revealing that both Hillary Clinton and Bill Clinton are about to be arrested. The charges relate to the Clinton Foundation pay-to-play scheme uncovered during the email investigation.",News,02-Oct-17,Fake
"WATCH: Trump Supporter Viciously Attacked By Liberal Mob At Campaign Rally","Shocking video has emerged showing a Trump supporter being viciously attacked by a mob of liberals at a recent political event. The mainstream media refuses to cover this story because it doesn't fit their anti-Trump narrative.",News,14-Mar-17,Fake
"GOP Senator Caught On Hot Mic Saying Republicans Are Racists","A bombshell recording has emerged of a Republican senator saying behind closed doors that the Republican party is full of racists and only cares about suppressing minority votes.",News,08-Sep-17,Fake
"BREAKING: Antifa Plans To Start Civil War On November 4th - Here's The Truth","Sources close to Antifa have revealed that the radical left-wing group is planning to launch a full-scale civil war beginning November 4th. Patriots are being urged to arm themselves and prepare for the worst.",News,01-Nov-17,Fake
"EXPOSED: The Real Reason Mueller Is Going After Trump - It Has Nothing To Do With Russia","The witch hunt against President Trump has nothing to do with Russia collusion and everything to do with the deep state trying to overturn the results of the 2016 election. Here is the real story the mainstream media refuses to tell you.",News,30-Oct-17,Fake
